id_leggo,id_ext,casa,id_leggo_prop_principal,id_ext_prop_principal,id_ext_prop_principal_raiz,uri_prop_principal_raiz,interesse
cf78f4942fee91d072d1b70a08f28f7f,2227595,camara,NA,2201537,531004,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=531004,socioambiental
cf92f4457c990ccd6664e4787b6537f1,2269953,camara,NA,2268643,2254814,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2254814,pandemia
d051a7bdbe4ca4763b06ddf9cfc95a58,2267232,camara,NA,2267201,2267201,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2267201,pandemia
d12a6bfd54d4ebf731b4bd7db4aef9af,2190545,camara,NA,349519,349519,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=349519,transparencia-e-integridade
d259d08bc296fc5630e2799a6989bef0,2195744,camara,NA,607277,570782,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=570782,socioambiental
d2cae355b1b479ac86d7f1fb8b0cc2f1,2263815,camara,NA,1280003,492476,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=492476,pandemia
d2fafff783baae27981b907a5abae790,2224719,camara,NA,538980,515927,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=515927,socioambiental
d3198c2ca27ba0700a09e16923765bac,2190552,camara,NA,1700695,583945,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=583945,transparencia-e-integridade
d34ed852103c0c70f6974e64d7001eb9,2192654,camara,NA,617369,2170712,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2170712,socioambiental
d38a42e5b9dc85be2c516be9bd91db34,2231476,camara,NA,2206683,359891,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=359891,socioambiental
