id_senado,sigla_tipo_senado,numero_senado,ano_senado,id_camara,sigla_tipo_camara,numero_camara,ano_camara
,,,,2058559,PL,3887,2015
141847,PL,02435,2020,,,,
,,,,2162927,PL,9144,2017
,,,,2238131,PL,447,2020
,,,,551690,PL,4196,2012
,,,,2190611,PL,141,2019
,,,,571610,PL,5366,2013
,,,,2152724,PL,8677,2017
,,,,2024470,PL,3391,2015
,,,,947817,PL,428,2015
,,,,526850,PL,2667,2011
,,,,2233846,PL,6424,2019
,,,,534039,PL,3133,2012
,,,,2222284,PL,5265,2019
,,,,493683,PL,625,2011
,,,,2258634,PLN,19,2020
127946,PLS,00007,2017,,,,
120182,PLC,00014,2015,604836,PL,6998,2013
131528,PLC,00137,2017,559138,PL,4685,2012
,,,,2225458,PLN,45,2019
121071,PEC,00053,2015,,,,
,,,,2181800,PL,10621,2018
126049,PLS,00232,2016,2270036,PL,414,2021
,,,,614566,PL,7520,2014
110818,PLS,00039,2013,,,,
,,,,2207673,PEC,94,2019
,,,,2265580,PL,5256,2020
120452,PLS,00177,2015,,,,
,,,,2261210,PL,4405,2020
,,,,2088779,PL,5636,2016
,,,,590814,PL,6272,2013
,,,,512596,PLP,78,2011
122192,PLS,00444,2015,2150161,PL,8448,2017
,,,,2233704,PL,6408,2019
,,,,2250885,PL,2295,2020
,,,,2170476,PL,9895,2018
,,,,2260603,PL,4251,2020
116031,PLS,00021,2014,,,,
120997,PLS,00258,2015,,,,
,,,,1724783,PL,3000,2015
118813,PEC,00041,2014,,,,
,,,,563095,PL,4841,2012
106392,PLS,00234,2012,,,,
,,,,2255152,PL,3295,2020
,,,,590385,PL,6257,2013
,,,,2171929,PL,10021,2018
,,,,2205475,PL,3216,2019
,,,,2125400,PL,7105,2017
,,,,2055976,PEC,169,2015
,,,,2078194,PL,4553,2016
140332,PL,06572,2019,2147383,PL,8257,2017
,,,,2081742,PL,4960,2016
141619,MPV,00954,2020,,,,
,,,,527540,PL,2722,2011
,,,,534163,PLP,130,2012
,,,,2215443,PLV,20,2019
